Stay,City,Number of Shows
1,New York City,2
2,Rio de Janeiro,9
3,Sao Paulo,4
4,Buenos Aires,18
5,Montevideo,5
6,Rosario,2
7,Cordoba,2
8,Mendoza,3
9,Santiago de Chile,9
10,Vina del Mar,1
11,Lima,7
12,Cali,2
13,Manizales,1
14,Medellin,2
15,Bogota,8
16,Caracas,3
