id_number,Page-Number,Page-Id,Parent_id,Start-City,Start-State,Start-Country,Start-Mass,Start-Nickname,End-City,End-State,End-Country,End-Mass,End-Nickname,Association-Type,Strength,Use,Comparison
53,196,2877,Buenos Aires,Buenos Aires,,Argentina,,,,,France,,French,PersonMetOrigin,Weak,,
54,196,2877,Buenos Aires,Buenos Aires,,Argentina,,,,,Italy,,Italian,PersonMetOrigin,Weak,,
55,196,2877,Buenos Aires,Buenos Aires,,Argentina,,,,,United States,,American,PersonMetOrigin,Weak,,
56,203,2884,Montevideo,Montevideo,,Uruguay,,,Rio de Janeiro,,Brazil,,,PlaceToPlace,Weak,Y,Positive
57,210,2891,Argentina,,,Argentina,,,,,Brazil,,,PlaceToPlace,Weak,Y,Negative
58,210,2891,Argentina,,,Argentina,,,,,,Europe,European civilization,PlaceToPlace,Strong,Y,Positive
59,215,2896,Cordoba,Cordoba,,Argentina,,,,,Paraguay,,Candide,Reference,Weak,,
60,219,2900,Cordoba,Cordoba,,Argentina,,,,,United States,Mid-West,Mid-sized midwestern city,PlaceToPlace,Strong,Y,Positive
61,219,2900,Cordoba,Cordoba,,Argentina,,,,,Spain,,Spanish Refugee,PersonMetOrigin,Strong,Y,
62,241,2922,Santiago,Santiago,,Chile,,,Buenos Aires,,Argentina,,,PlaceToPlace,Strong,Y,Negative
63,245,2926,Santiago,Santiago,,Chile,,,,New York,United States,,Harlem,Reference,Weak,,Negative
64,247,2928,Santiago,Santiago,,Chile,,,,,United States,,Americans,PersonMetOrigin,Strong,Y,
65,248,2929,Santiago,Santiago,,Chile,,,,,,East Coast of South America,East Coast,PlaceToPlace,Strong,Y,Negative
66,249,2930,Santiago,Santiago,,Chile,,,,,Germany,,German,Language,Weak,Y,
67,250,2931,Santiago,Santiago,,Chile,,,,,Germany,,Nazi,Reference,Strong,Y,
68,252,2933,Santiago,Santiago,,Chile,,,,,England,,English,PersonMetOrigin,Weak,,
69,252,2933,Santiago,Santiago,,Chile,,,,,France,,French,Language,Weak,Y,
70,252,2933,Santiago,Santiago,,Chile,,,,,Spain,,Spanish,PersonMetOrigin,Weak,,
71,252,2933,Santiago,Santiago,,Chile,,,,,Germany,,German,PersonMetOrigin,Weak,,
72,252,2933,Santiago,Santiago,,Chile,,,,,Germany,,German,Language,Weak,Y,
73,252,2933,Santiago,Santiago,,Chile,,,,,France,,French,PersonMetOrigin,Weak ,,
75,253,2935,Santiago,Santiago,,Chile,,,New York City,New York,United States,,,PlaceToPlace,Weak,,Negative
76,253,2935,Chile,,,Chile,,,,,Argentina,,Pampas,PlaceToPlace,Weak,Y,Negative
78,266,2947,Valparaiso,Valparaiso,,Chile,,,New York City,New York,United States,,,Reference,Strong,Y,
79,275,2957,Tocopilla,Tocopilla,,Chile,,,Antofogasta,,Chile,,,PlaceToPlace,Strong,Y,Negative
80,278,2960,Iquique,Iquique,,Chile,,,Vina Del Mar,,Chile,,,PlaceToPlace,Strong,Y,Positive
81,302,2984,Lima,Lima,,Peru,,,,,Russia,,Russian refugee,PersonMetOrigin,Strong,Y,
82,302,2984,Lima,Lima,,Peru,,,New York City,New York,United States,,Madison Square Garden,PlaceToPlace,Strong,Y,Positive
83,314,2996,Colombia,,,Colombia,,,,,Peru,,,PlaceToPlace,Weak,,Negative
84,314,2996,Ecuador,,,Ecuador,,Guayas River,,,,Africa,Congo River,PlaceToPlace,Strong,Y,Positive
85,316,2998,Puna Island,Puna Island,,Ecuador,,,,,,Africa,Congo,Reference,Weak,,
86,316,2998,Puna Island,Puna Island,,Ecuador,,,Brooklyn,New York,United States,,Brooklyn born Ecuadorian,PersonMetOrigin,Strong,Y,
87,316,2998,Puna Island,Puna Island,,Ecuador,,,,,Argentina,,,PlaceToPlace,Weak ,Y,Negative
88,328,3008,Cali,Cali,,Colombia,,,,,France,,French,PlaceToPlace,Strong,Y,Positive
89,330,3013,Cali,Cali,,Colombia,,,Buenos Aires,,Argentina,,,PlaceToPlace,Weak,,Positive
90,332,3015,Cali,Cali,,Colombia,,,,,France,,French life,Reference,Weak,,
91,334,3017,Manizales,Manizales,,Colombia,,,Rio de Janeiro,,Brazil,,,PlaceToPlace,Strong,Y,Positive
92,334,3017,Manizales,Manizales,,Colombia,,,Buenos Aires,,Argentina,,,PlaceToPlace,Strong,Y,Positive
93,338,3021,Nevado del Ruiz,Nevado del Ruiz,,Colombia,,,Mendoza,,Argentina,,,PlaceToPlace,Weak,,Positive
94,338,3021,Nevado del Ruiz,Nevado del Ruiz,,Colombia,,,Santiago,,Chile,,,PlaceToPlace,Weak,,
95,342,3025,Manizales,Manizales,,Colombia,,,,,England,,English,Reference,Strong,Y,
96,349,3032,Medellin,Medellin,,Colombia,,,,,Germany,,Nazi,Reference,Weak,,
97,350,3033,Medellin,Medellin,,Colombia,,,,,Germany,,German,PersonMetOrigin,Weak,,
98,351,3034,Medellin,Medellin,,Colombia,,,New York City,New York,United States,,Fifth Avenue,Reference,Strong,Y,
99,352,3035,Medellin,Medellin,,Colombia,,,,,America,,American man from Bogota,PersonMetOrigin,Weak,Y,
100,352,3035,Medellin,Medellin,,Colombia,,,Bogota,,Colombia,,American man from Bogota,PersonMetOrigin,Weak,,
101,352,3035,Medellin,Medellin,,Colombia,,,,,Germany,,German,PersonMetOrigin,Strong,Y,
102,353,3036,Medellin,Medellin,,Colombia,,,,,Germany,,Nazi,Reference,Weak,,
103,354,3037,Bogota,Bogota,,Colombia,,,Buenos Aires,,Argentina,,,PlaceToPlace,Strong,Y,
104,360,3043,Bogota,Bogota,,Colombia,,,,,Poland,,Polish refugee,PersonMetOrigin,Strong,Y,
105,360,3043,Bogota,Bogota,,Colombia,,,,,Poland,,Polish,Language,Weak ,,
106,360,3043,Bogota,Bogota,,Colombia,,,,,Germany,,German,Language,Weak,,
107,362,3045,Duitama,,,Colombia,,Between Bogota and Cucuta,,South Dakota,United States,,Badlands of Dakota,PlaceToPlace,Strong,Y,Positive
109,379,3062,La Guaira,La Guaira,,Venezuela,,,Paris,,France,,,Reference,Weak ,,
110,379,3062,La Guaira,La Guaira,,Venezuela,,,,,Germany,,German,Reference,Weak ,,
111,379,3062,La Guaira,La Guaira,,Venezuela,,,,,France,,Frenchman,Reference,Weak ,,
112,409,3039,Baranquilla,Baranquilla,,Colombia,,Magdalena River,,,United States,Mississippi River,,PlaceToPlace,Strong,Y,Positive
